llave_id,llave_nombre_natural,mnemotecnico_barra,nombre
8997,prog-sen-cmg-elcobre220,BA36G216SE067G216,BA S/E EL COBRE (ENGIE) 220KV - BP1
8999,prog-sen-cmg-elloa220,BA42L132SE069L132,BA S/E EL LOA 220KV
9001,prog-sen-cmg-elnegro110,BA37G216SE160G216,BA S/E TAP OFF EL NEGRO 110KV
9003,prog-sen-cmg-elpenon110,BA05T005SE005T005,BA S/E EL PENON  110KV Nº2
9005,prog-sen-cmg-elsalto110,BA04R002SE014R002,BA S/E EL SALTO 110KV BA1
9007,prog-sen-cmg-eltesoro220,BA46L119SE071T024,
9009,prog-sen-cmg-enaex110,BA96L109SE032L109,BA S/E CENTRAL DIESEL ENAEX 110KV
9011,prog-sen-cmg-encuentro220,BA48T024SE072T024,
9013,prog-sen-cmg-escondida220,BA01L120SE073L120,BA S/E ESCONDIDA 220KV-BP1
9015,prog-sen-cmg-esmeralda110,BA12T025SE075T025,BA S/E ESMERALDA 110KV
9017,prog-sen-cmg-esmeralda220,BA14T025SE075T025,BA S/E ESMERALDA 220KV
9019,prog-sen-cmg-esperanza220,BA15L121SE076L141,BA S/E ESPERANZA 220KV
9021,prog-sen-cmg-farellon220,BA22L120SE079L120,BA S/E FARELLÓN 220KV - BP
9023,prog-sen-cmg-florida110,BA01R002SE015R002,BA S/E FLORIDA 110KV BP1
9025,prog-sen-cmg-fopaco154,BA01L081SE066L081,BA S/E FPC 154KV BP1
9027,prog-sen-cmg-francisco220,BA01G195SE007G195,BA S/E FRANCISCO 220KV 1
9029,prog-sen-cmg-graneros066,BA01L011SE009L011,BA S/E GRANEROS (FFCC) 66KV
9031,prog-sen-cmg-guacolda220,BA03G011SE001G011,BA S/E GUACOLDA 220KV
9033,prog-sen-cmg-horcones066,BA02T005SE014T005,BA S/E HORCONES 66KV B1
9035,prog-sen-cmg-hualpen154,BA01T002SE018T002,BA S/E HUALPEN 154KV
9037,prog-sen-cmg-hualpen220,BA08T002SE018T002,BA S/E HUALPEN 220KV
9039,prog-sen-cmg-huasco110,BA01T002SE019T002,BA S/E HUASCO 110KV SECCIÓN1
9041,prog-sen-cmg-indura066,BA01L004SE001L004,BA S/E GRANEROS INDURA 66KV
9043,prog-sen-cmg-iquique066,BA42G216SE086G216,BA S/E IQUIQUE 66KV-BP
9045,prog-sen-cmg-itahue154,BA01T002SE020T002,BA S/E ITAHUE 154KV SECCION 1
9047,prog-sen-cmg-kapatur220-bp1,BA49L133SE090L133,
9049,prog-sen-cmg-kapatur220-bp2,BA50L133SE090L133,
9051,prog-sen-cmg-kelar220,BA51G226SE091G226,BA S/E KELAR 220KV - BP1
9053,prog-sen-cmg-lpalmas220,BA01T002SE062T002,BA S/E LAS PALMAS 220KV BA-A
9055,prog-sen-cmg-lvegas110,BA01G010SE017G010,BA S/E LAS VEGAS 110KV BP1
9057,prog-sen-cmg-lvegas110-exp,BA02G010SE017G010,BA S/E LAS VEGAS 110KV BP2
9059,prog-sen-cmg-lvilos220,BA01T002SE025T002,BA S/E LOS VILOS 220KV SECCIÓN 1
9061,prog-sen-cmg-lacebada220,BA01G132SE001G132,BA S/E LA CEBADA 220KV BP1
9063,prog-sen-cmg-laconfluencia154,BA01G078SE001G078,BA S/E CENTRAL LA CONFLUENCIA 154KV
9065,prog-sen-cmg-lacruz220,BA35G212SE010G212,BA S/E TAP OFF LA CRUZ 220KV
9067,prog-sen-cmg-lahiguera154,BA01G043SE002G043,BA S/E CENTRAL LA HIGUERA 154KV B1
9069,prog-sen-cmg-lanegra110,BA54R043SE170R043,
9071,prog-sen-cmg-laberinto220,BA20G212SE005G212,BA S/E LABERINTO 220KV-BARRA A
9073,prog-sen-cmg-lagunas220,BA69T024SE097T024,
9075,prog-sen-cmg-lagunillas154,BA01T002SE058T002,BA S/E LAGUNILLAS 154KV BA-A
9077,prog-sen-cmg-lagunillas220,BA09T002SE058T002,BA S/E LAGUNILLAS 220KV SECCIÓN A
9079,prog-sen-cmg-lalackama220,BA01G006SE002G006,BA S/E LALACKAMA 33KV B1
9081,prog-sen-cmg-lampa220,BA01R002SE020R002,BA S/E LAMPA 220KV B1
9083,prog-sen-cmg-lautaro066,BA01L011SE028L011,BA S/E LAUTARO (FFCC) 66KV
9085,prog-sen-cmg-linares154,BA01T005SE046T005,BA S/E LINARES 154KV
9087,prog-sen-cmg-lince110,BA39L125SE068L125,BA S/E EL LINCE 110KV
9089,prog-sen-cmg-llanollampos220,BA01G119SE001G119,BA S/E SECCIONADORA LLANO DE LLAMPOS 220KV B1
9091,prog-sen-cmg-loaguirre220,BA01R002SE022R002,BA S/E LO AGUIRRE 110KV B1
9093,prog-sen-cmg-loaguirre500,BA01T002SE102T002,BA S/E LO AGUIRRE 525KV SECCION 1
9095,prog-sen-cmg-loespejo110,BA01L011SE003L011,BA S/E LO ESPEJO (FFCC) 110KV
9097,prog-sen-cmg-losangeles154,BA05T005SE076T005,BA S/E 154KV B1
9099,prog-sen-cmg-loschangos220,BA08T030SE002T030,BA S/E LOS CHANGOS 220KV BA1
9101,prog-sen-cmg-loschangos500,BA01T030SE002T030,BA S/E LOS CHANGOS 500KV BA1
9103,prog-sen-cmg-mpatria066,BA03T005SE082T005,BA S/E MONTE PATRIA 66KV
9105,prog-sen-cmg-mredondo220,,
9107,prog-sen-cmg-maitencillo110,BA01T002SE026T002,BA S/E MAITENCILLO 110KV SECCIÓN1
9109,prog-sen-cmg-maitencillo220,BA03T002SE026T002,BA S/E MAITENCILLO 220KV SECCIÓN 1 EN AIRE
9111,prog-sen-cmg-malloa154,BA05T005SE151T005,BA S/E NUEVA MALLOA 154KV
9113,prog-sen-cmg-mantos220,BA85L123SE103L123,BA S/E MANTOS BLANCOS 220KV
9115,prog-sen-cmg-mapal154,BA01L044SE001L044,BA S/E MAPAL 154KV
9117,prog-sen-cmg-mariaelena220,BA91G220SE105G220,
9119,prog-sen-cmg-maule154,BA03T005SE094T005,BA S/E MAULE 154KV
9121,prog-sen-cmg-mejillones110,BA93G235SE106G216,BA S/E MEJILLONES 110KV
9123,prog-sen-cmg-mejillones220,BA97G216SE106G216,BA S/E MEJILLONES 220KV
9125,prog-sen-cmg-minsal110,BA24G212SE007G212,BA S/E MINSAL 110KV
9127,prog-sen-cmg-miraflores110,BA01R003SE013R003,BA S/E MIRAFLORES BARRA 110KV BP1
9129,prog-sen-cmg-miraje220,BA01T024SE008T002,
9131,prog-sen-cmg-molinos110,BA01T003SE001G041,BA S/E MOLINOS 110KV
9133,prog-sen-cmg-mulchen220,BA01G004SE015G004,
9135,prog-sen-cmg-nogales220,BA01T002SE054T002,BA S/E NOGALES 220KV SECCION 1
9137,prog-sen-cmg-norgener220,BA25G212SE008G212,BA S/E NORGENER 13.8KV NTO1
9139,prog-sen-cmg-nvacardones500,BA26G212SE008G212,BA S/E NORGENER 13.8KV NTO2
9141,prog-sen-cmg-nvamaitencillo500,BA27G212SE008G212,BA S/E NORGENER 220KV-BP1
9143,prog-sen-cmg-nvapazucar500,BA28G212SE008G212,BA S/E NORGENER 220KV-BP2
9145,prog-sen-cmg-nvavictoria220,BA29G212SE008G212,BA S/E NORGENER 5.3KV
9147,prog-sen-cmg-nvazaldivar220,BA32G212SE009G212,BA S/E NUEVA ZALDÍVAR 220KV - BP1
9149,prog-sen-cmg-ogp1220,BA25L120SE115L120,BA S/E OGP1 220KV - BP1
9151,prog-sen-cmg-ochagavia110,BA01R002SE033R002,BA S/E OCHAGAVIA 110KV BP1
9153,prog-sen-cmg-oeste110,BA36G212SE011G212,BA S/E TAP OFF OESTE 110KV
9155,prog-sen-cmg-oeste220,BA38G212SE011G212,BA S/E TAP OFF OESTE 220KV
9157,prog-sen-cmg-ohiggins220-bp1,BA21L120SE114L120,BA S/E O'HIGGINS 220KV - BP1
9159,prog-sen-cmg-ohiggins220-bp2,BA22L120SE114L120,BA S/E O'HIGGINS 220KV - BP2
9161,prog-sen-cmg-ovalle066,BA04T005SE071T005,BA S/E OVALLE 66KV
9163,prog-sen-cmg-oxidos220,BA47L120SE122L120,BA S/E PLANTA ÓXIDOS 220KV
9165,prog-sen-cmg-palmonte066,BA55G216SE123G216,BA S/E POZO ALMONTE 66KV
9167,prog-sen-cmg-palmonte110,BA48G216SE123G216,BA S/E POZO ALMONTE 110KV-BP1
9169,prog-sen-cmg-palmonte220,BA53G216SE123G216,BA S/E POZO ALMONTE 220KV BS1
9171,prog-sen-cmg-paltocmpc110,BA01L079SE004L079,BA S/E PUENTE ALTO (CMPC) 110KV
9173,prog-sen-cmg-pazucar110,BA01T002SE027T002,BA S/E PAN DE AZUCAR 110KV SECCIÓN 1
9175,prog-sen-cmg-pazucar220,BA03T002SE027T002,BA S/E PAN DE AZUCAR 220KV SECCIÓN 1
9177,prog-sen-cmg-pcolorada220,BA01T002SE056T002,BA S/E PUNTA COLORADA 220KV SECCIÓN 1
9179,prog-sen-cmg-pcortes154,,
9181,prog-sen-cmg-peq220,BA36G221SE118G221,BA S/E PEQ 220KV
9183,prog-sen-cmg-pmontt220,BA01T002SE031T002,BA S/E PUERTO MONTT 220KV SECCION 1
9185,prog-sen-cmg-pnegro220,BA01T011SE035T011,BA S/E PUENTE NEGRO 220KV B1
9187,prog-sen-cmg-ppeuco110,BA01L025SE001L025,BA S/E PUNTA PEUCO HBP
9189,prog-sen-cmg-pachacama110,,
9191,prog-sen-cmg-pacifico110,BA38R044SE119R044,
9193,prog-sen-cmg-paine154,BA01T005SE085T005,BA S/E PAINE 154KV
9195,prog-sen-cmg-palafitos110,BA40R044SE120R044,
9197,prog-sen-cmg-palestina220,BA69L124SE177L124,BA S/E TAP OFF PALESTINA 220KV
9199,prog-sen-cmg-pampa110,BA71G249SE178G216,
9201,prog-sen-cmg-pangue220,BA02G131SE003G131,
9203,prog-sen-cmg-paposo220,BA01T002SE028T002,BA S/E PAPOSO 220KV SECCIÓN 1
9205,prog-sen-cmg-parinacota066,BA45T025SE121T025,BA S/E PARINACOTA 66KV
9207,prog-sen-cmg-parinacota220,BA44T025SE121T025,BA S/E PARINACOTA SECCION A 220KV
9209,prog-sen-cmg-parral154,BA02T002SE130T005,BA S/E PARRAL 154KV B1
9211,prog-sen-cmg-pehuenche220,BA01T002SE029T002,BA S/E CENTRAL PEHUENCHE 220KV B1
9213,prog-sen-cmg-petroquim154,,
9215,prog-sen-cmg-pichirrahue220,,
9217,prog-sen-cmg-pichirropulli220,BA01T018SE001T018,BA S/E NUEVA PICHIRROPULLI 220KV B1
9219,prog-sen-cmg-pid-pid110,BA01T003SE015T003,BA S/E PID PID 110KV
9221,prog-sen-cmg-pillanlelbun066,BA03T005SE091T005,BA S/E PILLANLELBUN 23KV 
9223,prog-sen-cmg-polpaico220,BA01T002SE030T002,BA S/E POLPAICO 220KV SECCION 1
9225,prog-sen-cmg-polpaico500,BA02T002SE030T002,BA S/E POLPAICO 500KV SECCION A
9227,prog-sen-cmg-portada110,BA60R043SE094R043,
9229,prog-sen-cmg-punitaqui066,BA02T005SE081T005,BA S/E PUNITAQUI 66KV
9231,prog-sen-cmg-puri220,BA60L120SE126L120,BA S/E PURI 220KV - BP1
9233,prog-sen-cmg-quiani066,BA68R045SE128R045,
9235,prog-sen-cmg-quiborax066,,
9237,prog-sen-cmg-quillota110,BA01T002SE032T002,BA S/E QUILLOTA 110KV
9239,prog-sen-cmg-quillota220,BA02T002SE032T002,BA S/E QUILLOTA 220KV SECCION 1
9241,prog-sen-cmg-quintero220,BA01G021SE018G021,BA S/E CENTRAL QUINTERO 220KV
9243,prog-sen-cmg-rtomic220,BA69L140SE129L140,BA S/E RADOMIRO TOMIC 220KV-BP1
9245,prog-sen-cmg-rahue220,BA01T002SE100T002,BA S/E RAHUE 220KV SECCIÓN 1
9247,prog-sen-cmg-ralco220,BA01G021SE006G021,BA S/E CENTRAL RALCO 220KV
9249,prog-sen-cmg-rancagua066,BA01T002SE033T002,BA S/E RANCAGUA 66KV B1
9251,prog-sen-cmg-rancagua154,BA02T002SE033T002,BA S/E RANCAGUA 154KV
9253,prog-sen-cmg-rapel220,BA01T002SE094T002,BA S/E RAPEL 220KV B1
9255,prog-sen-cmg-renca110,BA01R002SE039R002,BA S/E RENCA 110KV BP1
9257,prog-sen-cmg-riotolten220,,
9259,prog-sen-cmg-rucue220,BA01G004SE009G004,BA S/E CENTRAL RUCUE B1 220KV
9261,prog-sen-cmg-s-aa100,BA21L108SE013L135,BA S/E A 100KV-BP1
9263,prog-sen-cmg-s-km6100,BA47L135SE089L135,BA S/E KM6 100KV-BP1
9265,prog-sen-cmg-scristobal110,BA01R002SE041R002,BA S/E SAN CRISTOBAL 110KV B1
9267,prog-sen-cmg-sfcomost066,BA02T005SE055T005,BA S/E SAN FRANCISCO DE MOSTAZAL 66KV T1
9269,prog-sen-cmg-sfernando154,BA04T005SE054T005,BA S/E SAN FERNANDO 154KV B2
9271,prog-sen-cmg-sjavier066,BA02T005SE190T005,BA S/E SAN JAVIER 66KV
9273,prog-sen-cmg-smiguel066,BA01T005SE057T005,BA S/E SAN MIGUEL 15KV
9275,prog-sen-cmg-svicente154,BA02T002SE035T002,BA S/E SAN VICENTE 154KV SECCIÓN A
9277,prog-sen-cmg-salar110,BA78L135SE133L135,BA S/E SALAR 100KV - BP1
9279,prog-sen-cmg-salar220,BA81L135SE133L135,BA S/E SALAR 220KV - BP1
9281,prog-sen-cmg-salta345,BA18G212SE004G212,BA S/E CENTRAL SALTA 345KV-BP1
9283,prog-sen-cmg-sanandres220,BA01T031SE001T031,BA S/E SECCIONADORA SAN ANDRES 220KV BP1
9285,prog-sen-cmg-sanluis220,BA01T001SE001T001,BA S/E SAN LUIS 220KV BP1
9287,prog-sen-cmg-santaelvira066,BA02T005SE048T005,BA S/E SANTA ELVIRA 66KV
9289,prog-sen-cmg-santamaria220,BA01G004SE017G004,BA S/E SANTA MARIA B1 - 230KV
9291,prog-sen-cmg-santamarta220,BA02G004SE017G004,BA S/E SANTA MARIA B2 - 230KV
9293,prog-sen-cmg-sauzal110-bp1,BA01T002SE036T002,BA S/E SAUZAL 110KV SECCION 1
9295,prog-sen-cmg-sauzal110-bp2,BA02T002SE036T002,BA S/E SAUZAL 110KV SECCION 2
9297,prog-sen-cmg-sauzal154,BA01T002SE036T002,BA S/E SAUZAL 110KV SECCION 1
9299,prog-sen-cmg-sierragorda220,BA83L131SE134L131,BA S/E SIERRA GORDA 220KV - BP1
9301,prog-sen-cmg-starosa110,BA01R002SE048R002,BA S/E SANTA ROSA SUR 110KV BP1
9303,prog-sen-cmg-sulfuros220,BA01L120SE140L120,BA S/E SULFUROS 220KV
9305,prog-sen-cmg-sur110,BA05R043SE141R043,
9307,prog-sen-cmg-to-enlace220,BA27L114SE162L114,Nodo Tap Off Enlace 220kv Lado LÍnea
9309,prog-sen-cmg-to-quiani066,BA74R045SE180R045,
9311,prog-sen-cmg-to-sgorda220,BA83L131SE134L131,BA S/E SIERRA GORDA 220KV - BP1
9313,prog-sen-cmg-talca066,BA03T005SE061T005,BA S/E TALCA 66KV BP1
9315,prog-sen-cmg-talinay220,BA01G006SE001G104,BA S/E TALINAY 220KV
9317,prog-sen-cmg-tamarugal066,BA10G216SE143G216,BA S/E TAMARUGAL 66KV
9319,prog-sen-cmg-tamaya110,BA16G216SE035G216,BA S/E CENTRAL DIESEL TAMAYA 110KV - BP
9321,prog-sen-cmg-tarapaca220,BA83T024SE188T024,
9323,prog-sen-cmg-temuco066,BA04T002SE037T002,BA S/E TEMUCO 66KV SECCION 1
9325,prog-sen-cmg-temuco220,BA02T002SE037T002,BA S/E TEMUCO 220KV SECCIÓN 1
9327,prog-sen-cmg-teno154,BA02T005SE127T005,BA S/E TENO 154KV BP1
9329,prog-sen-cmg-tilcoco154,BA01T002SE044T002,BA TAP TILCOCO 154KV
9331,prog-sen-cmg-tinguiririca154,BA01T002SE057T002,BA S/E TINGUIRIRICA 154KV SECCIÓN 1
9333,prog-sen-cmg-tocopilla110,BA45G216SE043R043,
9335,prog-sen-cmg-tocopilla220-bp1,BA58G216SE043R043,
9337,prog-sen-cmg-tocopilla220-bp2,BA59G216SE043R043,
9339,prog-sen-cmg-torquemada110,BA01G010SE010G010,BA S/E TORQUEMADA 110KV B1
9341,prog-sen-cmg-trupan220,,
9343,prog-sen-cmg-tuniche154-i,BA01T005SE067T005,BA S/E TUNICHE 15KV
9345,prog-sen-cmg-tuniche154-ii,BA02T005SE067T005,BA S/E TUNICHE 66KV
9347,prog-sen-cmg-uribe110,BA90R043SE191R043,
9349,prog-sen-cmg-valdivia220,BA01T002SE038T002,BA S/E VALDIVIA 220KV SECCION 1
9351,prog-sen-cmg-ventanas110,BA01G010SE008G010,BA S/E VENTANAS 110KV B1A
9353,prog-sen-cmg-ventanas220,BA01G049SE001G049,BA S/E NUEVA VENTANAS 220KV B1
9355,prog-sen-cmg-zaldivar220,BA95L128SE193L128,BA S/E ZALDÍVAR 220KV
